,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
957,27101997,0,80,420,"African not Arabic,not Islamic",WHITE OILS SUCH AS :VASELINE AND PARAFFIN OIL,27101997
958,27101998,0,215,1692,Gulf Cooperation Council,LUBRICATING PREPARATIONS,27101998
959,27101999,0,115,900,Gulf Cooperation Council,OTHER  PETROLEUM OILS,27101999
960,27101999,0,583,4280,Other Arab League Countries,OTHER  PETROLEUM OILS,27101999
961,27109900,0,1200,900,Gulf Cooperation Council,OTHER OF WASTE OILS,27109900
962,27109900,0,4115,866,"Asian not Arabic ,not Islamic",OTHER OF WASTE OILS,27109900
963,27111100,0,24100,82825,Gulf Cooperation Council,"NATURAL GAS, LIQUEFIED",27111100
964,27111100,0,54843,195993,Islamic not Arabic countries,"NATURAL GAS, LIQUEFIED",27111100
965,27111100,0,1822774,5697625,"Asian not Arabic ,not Islamic","NATURAL GAS, LIQUEFIED",27111100
966,27111200,0,313752,922807,Other Arab League Countries,PROPANE,27111200
967,27111200,0,522393,1546061,Islamic not Arabic countries,PROPANE,27111200
968,27111200,0,2310363,6791897,"Asian not Arabic ,not Islamic",PROPANE,27111200
969,27111300,0,757678,2257453,Other Arab League Countries,BUTANES,27111300
970,27111300,0,652124,1963323,Islamic not Arabic countries,BUTANES,27111300
971,27111300,0,2128516,6285428,"Asian not Arabic ,not Islamic",BUTANES,27111300
